Source,State,Open Data Website,Last Checked Date,Last Checked By,NO DATA,Crashes,Crashes - Incidents,Crashes - Civilians,Crashes - Vehicles,Arrests,Bail,Calls for Service,Citations,Complaints,COMPLAINTS – BACKGROUND,Complaints – Civilians,COMPLAINTS – OFFICERS,COMPLAINTS – ALLEGATIONS,COMPLAINTS – PENALTIES,Death in Custody,Diversion Program,Employee Demographics,Field Contacts,Incidents,Officer-Involved Shootings,Officer-Involved Shootings - Incidents,Officer-Involved Shootings - Civilians,Officer-Involved Shootings - Officers,Stops,Pedestrian Stops,Pedestrian Citations,Pedestrian Warnings,Pedestrian Arrests,Traffic Citations,Traffic Stops,Traffic Arrests,Traffic Warnings,Show of Force,Use of Force,Use of Force - Incidents,Use of Force  - Civilians/Officers,Use of Force  - Civilians,Use of Force  - Officers,Vehicle Pursuits,Comments
Fairfax County Police Department,Virginia,https://policedata-fcpdgis.hub.arcgis.com/pages/crime-stats,12/23/2021,sowdm,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,Added,,,Added,,,,,,,,
Virginia,Virginia,https://data.virginia.gov/Public-Safety/Community-Policing-Data-July-1-2020-to-September-3/segb-5y2c,12/23/2021,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,
Montgomery County Police Department,Maryland,https://data.montgomerycountymd.gov/browse?limitTo=datasets&q=police&sortBy=relevance,3/1/2023,sowdm,,,Added,Added,,,,,,Added,,,,,,,,,,Added,,,,,,,,,,,Added,,,,,,,,,,
Prince William County Police Department,Virginia,,12/29/2021,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Arundel County Police Department,Maryland,,12/29/2021,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte-Mecklenburg Police Department,North Carolina,https://data.charlottenc.gov/search?q=police,12/29/2021,sowdm,,,,,,,,,,,,,,,,,,Added,,,,Added,Added,Added,,,,,,,Added,,,,,,,,,,
Charlottesville Police Department,Virginia,,12/29/2021,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington Police Department,Vermont,data.burlingtonvt.gov,12/29/2021,sowdm,,,,,,Added,Not transferred from old site yet,Not transferred from old site yet,,,,,,,,,,,,,,,,,,,,,,,Added,,,,Not transferred from old site yet,,,,,,
California Department of Justice,California,https://openjustice.doj.ca.gov/data,8/15/2023,sowdm,,,,,,,,,,,,,,,,Added,,,,,,,,,Added,,,,,,,,,,,Added,Added,,,,
Baltimore Police Department,Maryland,data.baltimorecity.gov,3/1/2023,sowdm,,,,,,Added,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indianapolis Metropolitan Police Department,Indiana,https://data.indy.gov/search?q=police,12/29/2021,sowdm,,,,,,,,,,Added,,,,,,,,,,,Added,,,,,,,,,,,,,,Added,,,,,,
Wichita Police Department,Kansas,https://ict-opendata-cityofwichita.hub.arcgis.com/search?tags=safety&type=table%2Cfeature%20layer,3/1/2023,sowdm,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,Includes names,,,,,,,,,,,
New York Police Department,New York,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Police+Department+%28NYPD%29,3/1/2023,sowdm,,,Added,Added,Added,Added,,Issue #75,,,Added,,Added,Added,Added,,,Added,,,Added,,,,,Added,,,,,,,,,,Added,,Added,Added,,
Stanford Open Policing Project,Various,https://openpolicing.stanford.edu/data/,12/29/2021,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,
New Jersey Office of the Attorney General,New Jersey,"https://www.njoag.gov/force/#policy, https://www.njoag.gov/trafficstops/",12/29/2021,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,Issue #80,,,,,,
Austin Police Department,Texas,https://data.austintexas.gov/browse?category=Public+Safety&limitTo=datasets,12/29/2021,sowdm,,,,,,,,,,,,,,,,,,,,Has addresses,,Added,Added,Added,,,Added,Added,Added,Added,Added,Added,Added,,,Added,,Added,,,Use of force data is labeled response to resistance or R2R
Bloomington Police Department,Indiana,https://data.bloomington.in.gov/group/public-safety,12/13/2022,sowdm,,Added,,,,,,Added,,Added,,,,,,,,Issue#48 and #78,,,Added,,,,,,,,,Issue #78,,,,,Issue #78,,,,,Added,
Chandler Police Department,Arizona,"https://data.chandlerpd.com/, https://chn-az.municipal.systems/",8/27/2023,sowdm,,,,,,Added,,Added,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Chapel Hill Police Department,North Carolina,https://opendata-townofchapelhill.hub.arcgis.com/search?tags=community%20safety%2Cjustice,12/29/2021,sowdm,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,
Richmond Police Department,Virginia,data.richmondgov.com,2/6/2021,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
